country,year,volume,stock,volume_rate
Germany,1991,33618000,3127330048,0.010749744825142293
Germany,1992,32954000,3127330048,0.010537423135455385
Germany,1993,33152000,3127330048,0.010600735928464434
Germany,1994,39813000,3127330048,0.012730667818531445
Germany,1995,39343000,3127330048,0.01258037987553017
Germany,1996,37014000,3127330048,0.011835655153721722
Germany,1997,38207000,3127330048,0.012217130719680279
Germany,1998,39052000,3127330048,0.01248732925550172
Germany,1999,37634000,3127330048,0.012033907333851065
Germany,2000,53710000,3127330048,0.01717439450765639
Germany,2001,39483000,3127330048,0.012625146496849699
Germany,2002,42380000,3127330048,0.013551495796583091
Germany,2003,51182000,3127330048,0.01636603723125804
Germany,2004,54504000,3127330048,0.01742828520285429
Germany,2005,56946000,3127330048,0.018209142983299217
Germany,2006,62290000,3127330048,0.0199179488713818
Germany,2007,76728000,3127330048,0.024534666575748643
Germany,2008,55367000,3127330048,0.0177042394471311
Germany,2009,48073268,3127330048,0.015371984172487316
Germany,2010,54418357,3127330048,0.01740089986178523
Germany,2011,56141575,3127330048,0.017951918773620915
Germany,2012,52338132,3127330048,0.016735723827253683
Germany,2013,53207429,3127330048,0.017013691610205127
Germany,2014,54356180,3127330048,0.017381018045972484
Germany,2015,55612742,3127330048,0.01778281829753327
Germany,2016,52193500,3127330048,0.01668947607029164
Poland,1984,24701000,1642782111,0.015036078025565985
Poland,1985,24065000,1642782111,0.014648929909122928
Poland,1986,25343000,1642782111,0.015426878482730203
Poland,1987,24488000,1642782111,0.014906419929964772
Poland,1988,24264000,1642782111,0.014770065876374763
Poland,1989,22675000,1642782111,0.013802804308720646
Poland,1990,18676000,1642782111,0.011368519218066893
Poland,1991,18196000,1642782111,0.01107633196037402
Poland,1992,22037000,1642782111,0.013414438745370535
Poland,1993,21630000,1642782111,0.01316668829978512
Poland,1994,21922000,1642782111,0.01334443554821495
Poland,1995,22492000,1642782111,0.013691407916725238
Poland,1996,22057500,1642782111,0.013426917576167836
Poland,1997,23496800,1642782111,0.014303053242828987
Poland,1998,24916800,1642782111,0.015167440546837073
Poland,1999,26017800,1642782111,0.0158376450691701
Poland,2000,27659100,1642782111,0.01683674287344367
Poland,2001,26671400,1642782111,0.016235506718395232
Poland,2002,28957000,1642782111,0.01762680504377613
Poland,2003,30836000,1642782111,0.018770596412953026
Poland,2004,32733000,1642782111,0.019925344804293404
Poland,2005,31944500,1642782111,0.019445366361187506
Poland,2006,32384000,1642782111,0.019712900319012544
Poland,2007,35934563,1642782111,0.021874211290337092
Poland,2008,34273421,1642782111,0.02086303519529864
Poland,2009,34629172,1642782111,0.021079589172614262
Poland,2010,35467417,1642782111,0.02158984856391585
Poland,2011,37179982,1642782111,0.02263232704510501
Poland,2012,38015431,1642782111,0.023140884445630536
Poland,2013,38938843,1642782111,0.023702986987298644
Poland,2014,40862038,1642782111,0.02487368088950416
Poland,2015,41375282,1642782111,0.02518610454968608
Poland,2016,42136000,1642782111,0.025649171437806095
Czechia/Slovakia,1993,15655000,1112451224.5428572,0.014072527095678423
Czechia/Slovakia,1994,17268000,1112451224.5428572,0.015522478306494732
Czechia/Slovakia,1995,17688000,1112451224.5428572,0.01590002294911274
